State,District,Latitude,Longitude,District code,Population,Male,Female,Households_with_Internet,Male_Literate,Female_Literate,Total_Power_Parity,literacy_rate,sex_ratio
Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,195,3620268,1855075,1765193,5309,1293553,903996,4079,61.0,95.0
Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,183,3433919,1787146,1646773,4313,1034181,645813,3614,49.0,92.0
Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,188,4440895,2277777,2163118,14597,1593890,1106438,5455,61.0,95.0
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,28,454768,217070,237698,2521,180555,177536,878,79.0,110.0
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,168,1104285,593537,510748,1196,408125,245174,1291,59.0,86.0
Uttar Pradesh,Hardoi,27.337409090909137,80.26411767676768,155,4092845,2191442,1901403,3845,1374587,847014,4209,54.0,87.0
Uttar Pradesh,Jalaun,26.067954587155988,79.36686911314993,165,1689974,906092,783882,2217,653430,421766,1906,64.0,87.0
Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,194,4494204,2220465,2273739,8002,1565394,1166283,5261,61.0,102.0
Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917,166,1998603,1057436,941167,8517,783705,520808,2651,65.0,89.0
Uttar Pradesh,Jyotiba Phule Nagar,28.870498984771597,78.39009365482241,137,1840221,963449,876772,2825,600541,382569,2074,53.0,91.0
Uttar Pradesh,Kannauj,26.993988617886185,79.64437940379408,160,1656616,881776,774840,2488,603596,413491,1730,61.0,88.0
Uttar Pradesh,Kanpur Dehat,26.43047641196011,79.98710083056478,163,1796184,963255,832929,2682,692964,477279,2056,65.0,86.0
Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,174,1599596,838485,761111,1503,507279,306145,1645,51.0,91.0
Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,189,3564544,1818055,1746489,3486,1183722,771098,3704,55.0,96.0
